,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
1752,15069603,0.67,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,2,1,1,4,96.0,2,1125,True,0,0,4.84,False,48.0,192,0.06,0.12,0.16,4.99,0.0,480.0
1754,15081578,1.0,True,IJburg - Zeeburgereiland,52.34,4.992,Entire home/apt,6,4,7,20,314.0,4,30,True,0,0,5.0,False,52.34,1256,0.1,0.19,0.31,4.99,0.2054794520547945,1571.2328767123288
1755,15093623,0.36,False,Centrum-West,52.38,4.9,Private room,2,1,1,2,150.0,4,1125,True,0,3,4.93,False,75.0,600,0.08,0.19,0.2,4.99,0.4876712328767123,628.3561643835617
1756,15096042,0.6,False,Centrum-Oost,52.38,4.89,Private room,2,1,1,7,130.0,5,200,True,0,1,4.92,False,65.0,650,0.08,0.17,0.19,4.99,0.0,650.0
1762,15152694,0.68,True,Centrum-West,52.38,4.89,Entire home/apt,4,3,4,12,302.0,1,1125,True,5,1,4.96,False,75.5,302,0.12,0.2,0.16,4.99,0.08493150684931507,1076.3150684931506
1763,15167502,0.9,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,4,2,2,2,189.0,3,15,True,0,1,4.9,False,47.25,567,0.08,0.19,0.22,4.99,0.0027397260273972603,1011.9041095890411
1764,15209631,1.0,True,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,2,1,1,10,267.0,4,50,True,0,0,4.94,False,133.5,1068,0.11,0.23,0.25,4.99,0.7506849315068493,1401.5890410958905
1765,15210146,0.8,False,Bos en Lommer,52.38,4.855,Entire home/apt,2,1,1,8,83.0,3,15,True,0,0,4.96,False,41.5,249,0.05,0.1,0.16,4.99,0.00821917808219178,575.7945205479452
1766,15213109,0.42,False,Westerpark,52.38,4.88,Entire home/apt,4,2,2,11,298.0,3,1125,True,9,2,4.84,False,74.5,894,0.07,0.11,0.19,4.99,0.043835616438356165,1271.4109589041095
1771,15260123,0.78,False,De Pijp - Rivierenbuurt,52.34,4.9,Private room,4,1,2,10,150.0,3,1001,True,0,2,4.66,False,37.5,450,0.07,0.18,0.17,4.99,0.34794520547945207,655.972602739726
1775,15276959,0.28,False,Centrum-Oost,52.38,4.902,Private room,2,1,1,4,150.0,4,1125,True,3,2,4.89,False,75.0,600,0.08,0.11,0.13,4.99,0.5917808219178082,655.6164383561644
1778,15310556,0.61,False,De Pijp - Rivierenbuurt,52.34,4.887,Entire home/apt,2,1,1,7,206.0,4,1125,True,0,2,4.88,False,103.0,824,0.07,0.17,0.22,4.99,0.0,1098.6301369863013
1781,15351762,0.75,False,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,2,1,2,10,141.0,4,8,True,2,2,4.96,True,70.5,564,0.05,0.19,0.16,4.99,0.5178082191780822,715.2876712328767
1782,15351988,0.55,False,Centrum-West,52.38,4.895,Entire home/apt,4,3,5,15,339.0,7,1124,True,0,0,4.76,False,84.75,2373,0.09,0.1,0.16,4.99,0.0,1696.2328767123288
1787,15382115,0.82,False,Centrum-Oost,52.38,4.914,Entire home/apt,2,1,1,1,130.0,5,1125,True,0,0,4.94,False,65.0,650,0.05,0.17,0.14,4.99,0.0,650.3698630136986
1789,15404775,0.66,False,Centrum-West,52.38,4.89,Private room,2,1,1,5,101.0,2,1125,True,0,0,4.5,True,50.5,202,0.06,0.22,0.19,4.99,0.0,455.6986301369863
1790,15416044,0.72,False,De Baarsjes - Oud-West,52.38,4.87,Entire home/apt,2,1,1,12,275.0,2,7,True,3,1,4.81,False,137.5,550,0.13,0.27,0.39,4.99,0.09863013698630137,1671.0684931506848
1794,15465365,0.65,True,Centrum-West,52.38,4.88,Private room,2,1,1,5,93.0,4,7,True,0,1,4.95,False,46.5,372,0.05,0.12,0.15,4.99,0.0,479.7260273972603
1795,15481220,0.43,False,Slotervaart,52.34,4.832,Entire home/apt,4,4,4,19,475.0,5,1125,True,0,0,4.48,False,118.75,2375,0.13,0.13,0.26,10.99,0.8328767123287671,2375.0
1797,15504280,0.67,False,Watergraafsmeer,52.34,4.92,Entire home/apt,2,1,1,6,200.0,3,1125,True,0,1,4.86,False,100.0,600,0.1,0.15,0.25,4.99,0.038356164383561646,1015.3424657534247
1800,15534081,0.92,False,Westerpark,52.4,4.88,Entire home/apt,2,1,1,1,74.0,3,30,True,0,4,4.37,False,37.0,222,0.07,0.13,0.17,2.99,0.0,370.0
1802,15546882,1.0,False,IJburg - Zeeburgereiland,52.38,4.977,Entire home/apt,3,1,3,4,149.0,3,1125,True,0,0,4.86,True,49.66,447,0.07,0.11,0.17,4.99,0.030136986301369864,748.5616438356165
1804,15564496,0.0,False,Zuid,52.34,4.855,Entire home/apt,3,1,3,6,226.0,14,365,True,4,0,4.88,False,75.3,3164,0.06,0.2,0.16,4.99,0.17534246575342466,1203.6027397260275
1806,15574248,0.0,False,Slotervaart,52.38,4.83,Entire home/apt,4,2,2,6,175.0,3,7,True,0,0,4.56,False,43.75,525,0.07,0.21,0.21,4.99,0.0,875.0
1807,15591889,0.14,False,Zuid,52.34,4.887,Entire home/apt,3,2,2,7,120.0,4,14,True,0,0,5.0,False,40.0,480,0.06,0.11,0.18,4.99,0.0,713.7260273972603
1809,15599773,0.0,False,De Baarsjes - Oud-West,52.34,4.855,Entire home/apt,4,4,4,7,142.0,3,1125,True,1,0,5.0,False,35.5,426,0.06,0.1,0.15,4.99,0.0027397260273972603,1303.5753424657535
1810,15611604,0.31,False,Zuid,52.34,4.867,Entire home/apt,4,3,3,12,331.0,4,1125,True,5,2,4.89,False,82.75,1324,0.12,0.16,0.23,4.99,0.01643835616438356,1656.986301369863
1811,15630976,1.0,False,De Baarsjes - Oud-West,52.38,4.85,Entire home/apt,2,1,1,6,115.0,5,1125,True,2,0,5.0,False,57.5,575,0.07,0.12,0.17,4.99,0.0136986301369863,575.2739726027397
1812,15642871,1.0,True,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,2,1,1,6,163.0,2,1125,True,1,0,4.98,False,81.5,326,0.06,0.17,0.18,4.99,0.0027397260273972603,756.7808219178082
1816,15658599,0.92,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,2,2,2,9,229.0,3,9,True,0,0,4.96,False,114.5,687,0.09,0.29,0.26,4.99,0.0,1145.0
1817,15659592,0.86,True,De Pijp - Rivierenbuurt,52.34,4.895,Private room,1,1,1,1,90.0,6,23,True,15,2,4.81,False,90.0,540,0.05,0.13,0.15,4.99,0.0410958904109589,265.47945205479454
1820,15693863,0.67,False,Oud-Noord,52.4,4.902,Entire home/apt,2,1,1,6,119.0,3,1001,True,4,3,4.45,False,59.5,357,0.08,0.13,0.18,4.99,0.0136986301369863,539.4246575342465
1821,15713472,0.33,False,Zuid,52.34,4.848,Entire home/apt,2,1,1,9,200.0,3,1125,True,1,0,4.72,False,100.0,600,0.09,0.24,0.3,4.99,0.0410958904109589,1002.3972602739726
1823,15752260,0.33,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,2,2,2,7,220.0,10,60,True,17,0,4.89,False,110.0,2200,0.08,0.22,0.15,4.99,0.04657534246575343,742.6027397260274
1825,15757001,0.52,False,Centrum-West,52.38,4.895,Entire home/apt,4,2,2,13,262.0,5,1124,True,0,0,4.78,True,65.5,1310,0.1,0.14,0.25,4.99,0.0,1310.5342465753424
1828,15771182,1.0,False,Bos en Lommer,52.38,4.85,Entire home/apt,2,1,1,1,95.0,3,13,True,0,0,4.89,False,47.5,285,0.06,0.12,0.15,4.99,0.0,475.0
1829,15771785,1.0,True,Oud-Noord,52.4,4.91,Entire home/apt,12,1,12,17,442.0,3,1125,True,5,7,4.37,True,36.84,1326,0.04,0.18,0.16,10.99,0.7589041095890411,2717.958904109589
1830,15780515,1.0,True,Zuid,52.34,4.87,Entire home/apt,2,1,1,2,166.0,3,31,True,0,3,4.94,False,83.0,498,0.08,0.17,0.21,4.99,0.3589041095890411,988.2876712328767
1831,15785019,0.56,False,Oud-Noord,52.4,4.926,Entire home/apt,3,2,1,3,125.0,6,1125,True,0,0,4.7,False,41.66,750,0.08,0.1,0.17,4.99,0.010958904109589041,625.0
1838,15854242,1.0,False,Oud-Oost,52.34,4.91,Entire home/apt,2,1,2,5,183.0,2,30,True,0,0,4.8,False,91.5,366,0.07,0.15,0.19,4.99,0.13150684931506848,950.8219178082192
1839,15861762,0.5,False,Oostelijk Havengebied - Indische Buurt,52.38,4.934,Entire home/apt,2,1,1,10,180.0,4,14,True,0,0,5.0,False,90.0,720,0.07,0.12,0.17,4.99,0.7342465753424657,900.0
1842,15911681,0.96,False,Centrum-Oost,52.38,4.906,Entire home/apt,2,1,1,1,165.0,5,5,True,1,0,4.97,False,82.5,825,0.08,0.12,0.19,4.99,0.16712328767123288,825.0
1846,15926617,0.73,False,Watergraafsmeer,52.34,4.914,Entire home/apt,4,2,2,12,350.0,2,28,True,0,0,4.89,False,87.5,700,0.1,0.18,0.31,4.99,0.0821917808219178,1766.2191780821918
1848,15936857,1.0,False,De Aker - Nieuw Sloten,52.34,4.816,Entire home/apt,2,1,1,8,68.0,7,9,True,0,0,4.58,True,34.0,476,0.05,0.16,0.14,2.99,0.26301369863013696,375.24657534246575
1850,15946060,1.0,True,De Baarsjes - Oud-West,52.38,4.875,Private room,2,1,1,6,120.0,4,15,True,2,3,4.86,False,60.0,480,0.07,0.13,0.2,4.99,0.2410958904109589,522.6027397260274
1851,15953085,0.71,False,Noord-West,52.4,4.906,Entire home/apt,4,3,2,6,139.0,4,109,True,0,0,5.0,False,34.75,556,0.06,0.13,0.17,4.99,0.005479452054794521,695.0
1852,15959684,0.0,False,De Baarsjes - Oud-West,52.38,4.88,Entire home/apt,2,1,1,11,250.0,3,14,True,0,0,5.0,False,125.0,750,0.11,0.21,0.21,4.99,0.0,1250.0
1855,15995195,0.83,True,Centrum-West,52.38,4.883,Entire home/apt,2,1,1,12,350.0,3,1125,True,0,1,4.92,False,175.0,1050,0.1,0.3,0.24,4.99,0.4301369863013699,1773.5068493150684
1857,16003294,1.0,False,Westerpark,52.38,4.88,Private room,3,1,2,8,111.0,3,1125,True,0,0,4.97,False,37.0,333,0.06,0.12,0.18,4.99,0.0,879.068493150685
1858,16021092,0.64,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,4,2,3,7,200.0,5,60,True,0,0,4.86,False,50.0,1000,0.11,0.17,0.29,4.99,0.03561643835616438,1000.0
1861,16081933,1.0,True,De Pijp - Rivierenbuurt,52.34,4.902,Entire home/apt,2,1,1,10,170.0,3,30,True,4,6,4.92,False,85.0,510,0.09,0.15,0.24,4.99,0.5232876712328767,871.0958904109589
1863,16107987,1.0,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,2,2,1,11,250.0,3,30,True,0,0,4.95,False,125.0,750,0.08,0.16,0.2,4.99,0.0,1250.0
1866,16153200,0.5,False,Westerpark,52.38,4.875,Entire home/apt,3,1,1,2,100.0,3,1124,True,0,0,4.83,False,33.34,300,0.07,0.1,0.18,4.99,0.0,689.4657534246576
1867,16153298,0.37,False,Centrum-West,52.38,4.88,Entire home/apt,6,3,3,30,800.0,3,100,True,0,0,4.66,True,133.4,2400,0.13,0.23,0.4,10.99,0.2602739726027397,4044.5205479452056
1870,16185181,1.0,False,Oostelijk Havengebied - Indische Buurt,52.38,4.94,Entire home/apt,4,2,1,11,171.0,3,28,True,1,0,4.75,False,42.75,513,0.09,0.14,0.19,4.99,0.005479452054794521,1025.7123287671234
1872,16197958,1.0,True,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,2,1,2,13,189.0,4,31,True,4,1,4.97,False,94.5,756,0.05,0.13,0.17,4.99,0.07397260273972603,943.7671232876712
1880,16211736,1.0,True,Westerpark,52.38,4.875,Private room,4,2,3,8,275.0,5,1125,True,0,3,4.81,False,68.75,1375,0.1,0.22,0.19,4.99,0.6986301369863014,1381.986301369863
1881,16222778,0.57,False,Centrum-West,52.38,4.887,Private room,2,1,1,5,91.0,5,30,True,0,3,4.73,False,45.5,455,0.06,0.12,0.16,4.99,0.0,522.4520547945206
1883,16235797,0.58,False,Centrum-Oost,52.38,4.887,Private room,4,1,1,6,81.0,1,15,True,0,0,4.53,True,20.25,81,0.05,0.12,0.17,4.99,0.0,766.3698630136986
1884,16247842,0.39,False,Zuid,52.34,4.848,Private room,2,1,2,6,149.0,2,365,True,4,1,4.46,True,74.5,298,0.08,0.14,0.19,4.99,0.14794520547945206,671.931506849315
1887,16270813,0.45,False,De Pijp - Rivierenbuurt,52.34,4.887,Entire home/apt,4,1,2,5,239.0,4,1125,True,5,0,4.76,False,59.75,956,0.09,0.14,0.23,4.99,0.7972602739726027,1160.2739726027398
1890,16328805,0.5,False,Oostelijk Havengebied - Indische Buurt,52.38,4.945,Entire home/apt,3,2,2,7,90.0,3,1125,True,0,0,4.63,False,30.0,270,0.06,0.12,0.16,4.99,0.0,517.054794520548
1892,16341879,0.71,False,Centrum-West,52.38,4.895,Private room,2,1,1,4,158.0,3,1125,True,13,0,4.47,True,79.0,474,0.09,0.17,0.17,4.99,0.9068493150684932,1218.6438356164383
1893,16342515,0.49,False,Centrum-West,52.38,4.895,Private room,2,1,1,6,158.0,3,1125,True,12,0,4.46,True,79.0,474,0.09,0.17,0.2,4.99,0.8958904109589041,1223.6712328767123
1894,16350016,0.62,True,Zuid,52.38,4.87,Entire home/apt,2,1,1,10,169.0,3,31,True,0,8,4.9,False,84.5,507,0.08,0.19,0.21,4.99,0.4438356164383562,889.1095890410959
1895,16355117,0.0,False,Zuid,52.34,4.855,Entire home/apt,3,1,3,14,241.0,14,700,True,5,0,4.86,False,80.3,3374,0.05,0.19,0.28,4.99,0.1780821917808219,1205.0
1898,16388616,1.0,False,Westerpark,52.38,4.88,Private room,2,1,1,8,92.0,3,90,True,0,3,4.61,True,46.0,276,0.07,0.09,0.16,4.99,0.37534246575342467,509.8082191780822
1899,16389105,0.42,False,Centrum-West,52.38,4.88,Private room,2,1,1,1,129.0,3,90,True,0,4,4.71,True,64.5,387,0.07,0.18,0.16,4.99,0.14246575342465753,702.7260273972603
1900,16391366,1.0,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,2,16,229.0,4,28,True,0,0,5.0,True,114.5,916,0.08,0.23,0.27,4.99,0.33424657534246577,1145.0
1903,16404688,0.79,False,Oud-Noord,52.4,4.938,Entire home/apt,5,3,4,7,210.0,5,30,True,0,0,5.0,False,42.0,1050,0.09,0.22,0.26,4.99,0.0,1049.9178082191781
1904,16422457,1.0,False,Watergraafsmeer,52.34,4.94,Entire home/apt,4,2,2,9,190.0,3,60,True,0,0,4.89,False,47.5,570,0.07,0.14,0.19,4.99,0.0,951.986301369863
1906,16438704,1.0,True,Bos en Lommer,52.38,4.86,Entire home/apt,4,2,2,12,260.0,5,1125,True,0,1,4.94,False,65.0,1300,0.12,0.27,0.29,4.99,0.0,1301.6438356164383
1908,16486501,0.92,False,Bos en Lommer,52.38,4.848,Entire home/apt,4,2,2,5,207.0,3,1125,True,0,0,4.86,False,51.75,621,0.08,0.13,0.27,4.99,0.010958904109589041,887.3972602739726
1913,16529952,0.69,False,Westerpark,52.38,4.875,Entire home/apt,2,1,2,8,120.0,3,4,True,0,0,4.83,False,60.0,360,0.07,0.14,0.2,4.99,0.0027397260273972603,600.0
1916,16540398,1.0,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,2,1,1,9,122.0,3,30,True,0,0,5.0,False,61.0,366,0.07,0.13,0.23,4.99,0.0273972602739726,675.3287671232877
1920,16610138,0.53,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,3,1,1,6,115.0,3,1125,True,4,5,4.81,False,38.34,345,0.05,0.15,0.19,4.99,0.06575342465753424,612.8219178082192
1923,16625355,0.82,False,Noord-West,52.4,4.906,Entire home/apt,4,4,5,3,177.0,4,21,True,0,2,4.89,False,44.25,708,0.08,0.21,0.16,4.99,0.01643835616438356,971.6438356164383
1924,16630995,0.0,False,Oud-Oost,52.34,4.906,Entire home/apt,2,1,1,2,75.0,3,30,True,0,0,4.87,False,37.5,225,0.06,0.14,0.14,4.99,0.0,375.0
1929,16687949,1.0,True,De Baarsjes - Oud-West,52.38,4.848,Private room,3,1,2,4,77.0,3,30,True,3,5,4.86,False,25.67,231,0.06,0.12,0.16,4.99,0.15616438356164383,402.90410958904107
1930,16697065,0.47,False,Bos en Lommer,52.38,4.848,Entire home/apt,2,1,1,5,102.0,4,60,True,0,0,4.88,False,51.0,408,0.05,0.13,0.16,4.99,0.0,509.7945205479452
1932,16710492,1.0,False,Oud-Oost,52.34,4.918,Entire home/apt,3,2,2,3,185.0,4,1125,True,0,0,4.88,False,61.66,740,0.07,0.12,0.22,4.99,0.0,927.8767123287671
1933,16715510,0.82,False,Westerpark,52.38,4.88,Entire home/apt,4,2,2,7,220.0,5,1125,True,0,0,4.94,False,55.0,1100,0.08,0.17,0.23,4.99,0.0,1102.4794520547946
1934,16721604,0.25,False,Bos en Lommer,52.38,4.848,Entire home/apt,4,2,2,11,190.0,30,60,True,0,0,4.87,False,47.5,5700,0.07,0.13,0.18,4.99,0.2684931506849315,950.0
1938,16751079,0.61,False,Centrum-West,52.38,4.887,Entire home/apt,5,3,4,9,300.0,3,1125,True,0,1,4.91,False,60.0,900,0.09,0.29,0.19,4.99,0.0,1505.4794520547946
1941,16775644,1.0,False,Oud-Oost,52.34,4.914,Entire home/apt,2,1,1,7,240.0,3,1125,True,0,0,4.63,False,120.0,720,0.05,0.16,0.25,4.99,0.0,1186.6301369863013
1942,16788501,1.0,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,2,1,2,11,184.0,3,1125,True,0,0,4.75,False,92.0,552,0.07,0.12,0.18,4.99,0.01643835616438356,921.2191780821918
1944,16804355,1.0,True,Centrum-West,52.38,4.883,Entire home/apt,2,1,1,8,295.0,3,1125,True,0,1,4.92,True,147.5,885,0.12,0.24,0.2,4.99,0.0,1477.4109589041095
1948,16878229,0.5,False,Slotervaart,52.38,4.83,Entire home/apt,6,4,4,1,100.0,5,1125,True,0,0,4.83,False,16.67,500,0.08,0.15,0.16,4.99,0.0136986301369863,532.6027397260274
1952,16996727,0.5,False,Westerpark,52.38,4.875,Entire home/apt,4,2,2,15,277.0,3,90,True,0,0,4.95,False,69.25,831,0.08,0.18,0.32,4.99,0.0,1385.0
1953,17007711,0.33,False,IJburg - Zeeburgereiland,52.34,4.996,Entire home/apt,5,3,5,9,250.0,6,1125,True,0,0,4.92,False,50.0,1500,0.13,0.16,0.24,4.99,0.4465753424657534,1265.0684931506848
1955,17011879,0.56,False,Bos en Lommer,52.38,4.855,Entire home/apt,4,2,4,12,275.0,3,1125,True,4,3,4.91,False,68.75,825,0.1,0.15,0.22,4.99,0.336986301369863,1432.2602739726028
1956,17026187,0.0,False,Noord-Oost,52.4,4.938,Entire home/apt,4,2,2,3,140.0,3,1125,True,0,0,5.0,False,35.0,420,0.08,0.19,0.2,4.99,0.0,700.0
1957,17026274,0.87,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,4,2,2,11,200.0,3,30,True,0,1,4.92,True,50.0,600,0.12,0.2,0.23,4.99,0.0136986301369863,1010.8219178082192
1958,17042462,0.18,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,2,1,1,7,220.0,4,30,True,1,0,4.89,False,110.0,880,0.07,0.24,0.23,4.99,0.024657534246575342,1166.7123287671234
1962,17115931,1.0,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,2,1,1,11,130.0,4,30,True,0,0,5.0,False,65.0,520,0.06,0.14,0.17,4.99,0.0,681.2876712328767
1964,17136286,0.8,False,De Baarsjes - Oud-West,52.38,4.87,Entire home/apt,2,1,1,12,145.0,3,1125,True,0,0,4.88,False,72.5,435,0.07,0.13,0.18,4.99,0.0,725.0
1966,17150944,0.61,False,Centrum-Oost,52.38,4.895,Private room,4,1,2,14,256.0,2,1125,True,4,6,4.55,True,64.0,512,0.09,0.2,0.27,4.99,0.7780821917808219,1243.7534246575342
1971,17236712,0.0,False,Watergraafsmeer,52.34,4.94,Entire home/apt,4,3,2,11,263.0,4,30,True,0,0,5.0,False,65.75,1052,0.04,0.18,0.21,4.99,0.4904109589041096,1246.3698630136987
1974,17252191,0.67,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,2,9,159.0,3,14,True,0,0,4.98,False,79.5,477,0.07,0.2,0.18,4.99,0.3424657534246575,802.5205479452055
1978,17297257,0.0,False,Zuid,52.34,4.848,Entire home/apt,2,1,1,9,175.0,2,18,True,0,0,4.94,False,87.5,350,0.09,0.14,0.23,4.99,0.0,1098.1917808219177
1980,17311781,0.56,False,Oud-Noord,52.4,4.906,Entire home/apt,2,1,2,4,125.0,4,60,True,0,0,5.0,False,62.5,500,0.05,0.15,0.16,4.99,0.0,626.4383561643835
1981,17327485,0.6,False,Geuzenveld - Slotermeer,52.38,4.82,Entire home/apt,4,3,2,1,100.0,7,19,True,1,0,4.8,False,25.0,700,0.07,0.11,0.19,4.99,0.2465753424657534,511.5342465753425
1985,17390004,0.51,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,3,7,150.0,4,1125,True,0,1,5.0,False,37.5,600,0.08,0.15,0.16,4.99,0.0,749.3150684931506
1992,17461238,0.67,False,Bos en Lommer,52.38,4.848,Entire home/apt,4,3,3,3,183.0,3,28,True,1,1,4.85,False,45.75,549,0.09,0.13,0.19,4.99,0.010958904109589041,867.2602739726027
1996,17505754,1.0,True,Zuid,52.34,4.88,Private room,2,1,1,4,121.0,2,60,True,2,6,4.93,False,60.5,242,0.06,0.13,0.15,4.99,0.18356164383561643,591.4109589041096
1998,17508421,0.79,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,2,1,1,5,125.0,3,1125,True,1,2,4.98,False,62.5,375,0.07,0.13,0.17,4.99,0.010958904109589041,726.0958904109589
2002,17525219,0.63,False,Centrum-West,52.38,4.88,Private room,2,1,1,3,216.0,3,365,True,7,2,4.6,True,108.0,648,0.03,0.22,0.21,4.99,0.2356164383561644,1172.1780821917807
2003,17536444,1.0,True,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,1,1,7,189.0,7,1125,True,4,0,4.88,True,47.25,1323,0.09,0.15,0.24,4.99,0.5013698630136987,816.986301369863
2005,17554758,0.68,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,2,1,1,9,190.0,3,60,True,0,2,4.72,True,95.0,570,0.08,0.22,0.15,4.99,0.1780821917808219,950.0
2006,17564346,0.52,False,Centrum-Oost,52.38,4.895,Entire home/apt,2,1,1,8,185.0,23,1125,True,0,0,5.0,False,92.5,4255,0.08,0.17,0.2,4.99,0.3013698630136986,1003.3561643835617
2007,17565780,0.37,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,3,4,13,300.0,2,14,True,0,0,5.0,False,75.0,600,0.1,0.17,0.26,4.99,0.005479452054794521,1500.0
2011,17618917,0.9,True,Centrum-West,52.38,4.895,Entire home/apt,2,1,1,9,200.0,3,1125,True,0,0,5.0,False,100.0,600,0.08,0.14,0.2,4.99,0.07397260273972603,1116.041095890411
2012,17631393,0.57,False,Oud-Noord,52.38,4.91,Entire home/apt,4,3,5,11,300.0,5,7,True,0,0,5.0,False,75.0,1500,0.08,0.14,0.24,4.99,0.0136986301369863,1500.0
2013,17643789,1.0,False,Noord-West,52.44,4.887,Hotel room,4,2,4,7,169.0,3,60,True,1,0,4.56,True,42.25,507,0.07,0.19,0.21,4.99,0.7205479452054795,825.5342465753424
2019,17678275,0.88,False,Centrum-Oost,52.38,4.883,Entire home/apt,3,1,1,14,399.0,3,14,True,5,2,4.92,False,133.0,1197,0.1,0.26,0.25,4.99,0.0136986301369863,1359.4246575342465
2021,17688373,0.92,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,4,2,3,12,300.0,4,4,True,0,0,4.88,False,75.0,1200,0.02,0.2,0.31,4.99,0.0,1649.3150684931506
2022,17699304,0.86,False,Bos en Lommer,52.38,4.85,Entire home/apt,3,1,2,7,295.0,5,100,True,4,1,4.92,False,98.3,1475,0.12,0.19,0.26,4.99,0.1232876712328767,1447.6712328767123
2023,17724135,0.33,False,Watergraafsmeer,52.34,4.93,Entire home/apt,4,2,2,8,300.0,4,21,True,0,0,4.89,False,75.0,1200,0.07,0.14,0.29,4.99,0.11506849315068493,1557.5342465753424
2025,17759347,0.0,False,Centrum-Oost,52.38,4.895,Entire home/apt,2,1,1,14,299.0,3,1125,True,2,2,4.98,False,149.5,897,0.09,0.16,0.24,4.99,0.10410958904109589,1495.0
2026,17771718,0.49,False,Buitenveldert - Zuidas,52.34,4.867,Entire home/apt,2,1,2,3,166.0,20,1125,True,5,1,4.83,False,83.0,3320,0.08,0.14,0.14,4.99,0.5150684931506849,828.4931506849315
2028,17777736,1.0,True,Gaasperdam - Driemond,52.3,4.992,Private room,2,1,1,2,56.0,1,14,True,11,4,4.46,False,28.0,56,0.05,0.12,0.14,2.99,0.1095890410958904,328.3972602739726
2029,17778084,0.5,False,Oud-Oost,52.34,4.914,Entire home/apt,4,2,2,5,150.0,4,14,True,16,0,4.96,False,37.5,600,0.08,0.16,0.21,4.99,0.2273972602739726,750.0
2030,17793367,1.0,True,Centrum-West,52.38,4.887,Private room,2,1,1,12,100.0,3,30,True,1,5,4.99,True,50.0,300,0.07,0.15,0.17,4.99,0.20821917808219179,554.8904109589041
2032,17821445,0.56,False,Westerpark,52.38,4.88,Entire home/apt,4,2,3,16,350.0,4,1125,True,2,0,4.97,False,87.5,1400,0.11,0.28,0.11,4.99,0.13972602739726028,1750.0
2033,17835965,1.0,True,IJburg - Zeeburgereiland,52.34,4.992,Private room,4,1,1,7,124.0,2,1125,True,4,5,4.99,False,31.0,248,0.07,0.16,0.17,4.99,0.28493150684931506,585.7534246575342
2035,17846586,0.89,False,Bijlmer-Centrum,52.3,4.95,Entire home/apt,4,2,2,9,275.0,3,21,True,0,0,4.9,False,68.75,825,0.09,0.19,0.33,4.99,0.29315068493150687,1401.2602739726028
2038,17874135,0.85,True,De Pijp - Rivierenbuurt,52.34,4.9,Private room,2,1,1,3,147.0,3,100,True,4,8,4.95,True,73.5,441,0.06,0.15,0.19,4.99,0.1095890410958904,701.013698630137
2042,17900191,0.91,True,Zuid,52.34,4.86,Private room,2,1,1,4,97.0,4,30,True,3,2,4.95,False,48.5,388,0.05,0.11,0.17,4.99,0.019178082191780823,454.5342465753425
2043,17911026,0.64,False,Centrum-West,52.38,4.887,Private room,2,1,1,9,153.0,4,6,True,0,1,5.0,False,76.5,612,0.07,0.2,0.25,4.99,0.14520547945205478,764.2465753424658
2044,17913931,1.0,False,Slotervaart,52.38,4.844,Private room,2,1,1,2,77.0,2,1124,True,14,1,4.31,False,38.5,154,0.05,0.14,0.13,4.99,0.20273972602739726,448.0821917808219
2045,17917198,0.54,False,Centrum-West,52.38,4.88,Private room,3,1,2,19,246.0,2,365,True,6,3,4.6,True,82.0,492,0.08,0.2,0.25,4.99,0.26301369863013696,1334.164383561644
2049,17967394,0.55,True,Centrum-West,52.38,4.895,Private room,4,2,2,10,250.0,3,1001,True,2,7,4.85,False,62.5,750,0.12,0.13,0.29,4.99,0.2602739726027397,1178.109589041096
